                               98 macb r/rrwxrwxrwx 0        0        93800-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/243289/eventbeacons.dat ($FILE_NAME)
                             8192 .a.b r/rrwxrwxrwx 0        0        93801-128-4 /Users/Marcos/AppData/Local/Packages/Microsoft.SkypeApp_kzf8qxf38zg5c/LocalState/DiagOutputDir/SkypeHost-11.4.86.0-000.etl
                              120 macb r/rrwxrwxrwx 0        0        93801-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.SkypeApp_kzf8qxf38zg5c/LocalState/DiagOutputDir/SkypeHost-11.4.86.0-000.etl ($FILE_NAME)
                              504 ...b d/drwxrwxrwx 0        0        93802-144-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279978
                               78 macb d/drwxrwxrwx 0        0        93802-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279978 ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93803-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279978/imprbeacons.dat
                               96 macb r/rrwxrwxrwx 0        0        93803-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279978/imprbeacons.dat ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93804-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279978/eventbeacons.dat
                               98 macb r/rrwxrwxrwx 0        0        93804-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/279978/eventbeacons.dat ($FILE_NAME)
                              504 ...b d/drwxrwxrwx 0        0        93805-144-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296333
                               78 macb d/drwxrwxrwx 0        0        93805-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296333 ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93806-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296333/imprbeacons.dat
                               96 macb r/rrwxrwxrwx 0        0        93806-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296333/imprbeacons.dat ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93807-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296333/eventbeacons.dat
                               98 macb r/rrwxrwxrwx 0        0        93807-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/296333/eventbeacons.dat ($FILE_NAME)
                              504 ...b d/drwxrwxrwx 0        0        93808-144-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/202914
                               78 macb d/drwxrwxrwx 0        0        93808-48-2 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/202914 ($FILE_NAME)
                                0 .a.b r/rrwxrwxrwx 0        0        93809-128-1 /Users/Marcos/AppData/Local/Packages/Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy/LocalState/ContentManagementSDK/Creatives/202914/imprbeacons.dat
